drugid,cas
33497,"52485-79-7; 53152-21-9"
34061,"1262984-82-6"
34063,"73590-58-6"
34139,"596-51-0; 740028-90-4"
35108,"85721-33-1"
35219,"355-42-0"
35399,"113507-06-5"
36230,"73232-52-7"
37011,"245765-41-7"
37952,"104206-65-7"
37956,"57-63-6; 797-63-7"
37957,"57-63-6; 797-63-7"
39889,"126544-47-6"
40115,"444811-40-9"
40474,"37517-28-5"
40649,"57-83-0"
40909,"381231-18-1; 945212-59-9"
41417,"596-51-0; 740028-90-4"
41500,"15307-86-5"
41905,"89-57-6"
42859,"91374-21-9"
43078,"136959-96-1; 84371-63-1; 84371-65-3"
43841,"59-67-6"
44017,"31677-93-7; 34911-55-2"
44237,"153559-49-0"
44258,"59277-89-3"
44279,"26787-78-0; 61336-70-7"
44282,"4419-39-0; 5534-09-8"
44285,"1812-30-2"
44286,"47931-85-1"
44294,"66108-95-0"
44295,"60166-93-0"
44300,"75330-75-5"
44317,"72558-82-8"
44370,"18323-44-9"
44376,"57-41-0"
44378,"50-28-2"
44385,"80214-83-1"
44388,"28860-95-9; 59-92-7"
44389,"51-48-9; 55-03-8"
44399,"55-63-0"
44403,"137-58-6; 6108-05-0"
44411,"6190-39-2"
44412,"34580-13-7; 34580-14-8"
44414,"4419-39-0; 5534-09-8"
44699,"437-38-7"
44757,"113-45-1; 298-59-9"
44785,"32986-56-4"
45617,"5949-44-0"
45697,"50-28-2"
46078,"33286-22-5; 42399-41-7"
46257,"104987-11-3"
46282,"37270-71-6; 57-63-6; 68-22-4"
46417,"50-28-2"
46623,"466-99-9; 71-68-1"
46861,"68302-57-8"
46886,"34089-?81-1"
46889,"10118-90-8; 13614-98-7"
46890,"10238-21-8"
46891,"51-42-3; 51-43-4"
46898,"68-89-3"
46921,"57-63-6; 797-63-7"
46923,"89-57-6"
46926,"37270-71-6; 57-63-6; 68-22-4"
46927,"24390-14-5; 564-25-0"
46930,"13392-18-2; 22254-24-6"
46999,"18323-44-9"
47077,"75695-93-1"
47206,"82626-48-0; 99294-93-6"
47266,"22916-47-8"
47300,"84625-61-6"
47398,"108147-54-2; 75172-81-5"
47400,"13422-51-0"
47417,"58-22-0"
47516,"109852-02-0; 57-63-6; 60282-87-3"
47759,"103628-46-2"
48140,"564-25-0"
48279,"111025-46-8; 657-24-9"
48339,"111406-87-2"
48477,"72956-09-3"
48517,"18559-94-9"
48557,"110429-35-1; 61869-08-7"
48629,"19794-93-5"
48667,"100986-85-4"
48700,"100299-08-9"
48899,"114-07-8"
48917,"103-90-2"
48938,"18559-94-9; 51022-70-9"
48942,"50-23-7; 85721-33-1"
48943,"51-48-9; 55-03-8"
48978,"19262-68-1; 40431-64-9"
48998,"59729-33-8"
49017,"26787-78-0"
49077,"1115-70-4; 657-24-9"
49122,"50-28-2"
49157,"5633-20-5"
49282,"113806-05-6; 140462-76-6"
49301,"869572-92-9"
49317,"27203-92-5"
49619,"10405-02-4"
49657,"357-70-0"
49659,"109889-09-0"
49719,"87-33-2"
49829,"1115-70-4; 657-24-9"
50040,"104987-11-3"
50198,"65277-42-1"
50402,"58-22-0"
50562,"566170-04-5"
50597,"22832-87-7; 22916-47-8"
50643,"76924-93-1"
50843,"81846-19-7; 830354-48-8"
50845,"26839-75-8"
51011,"18559-94-9; 438627-66-8"
51012,"36505-84-7"
51039,"59-67-6; 79902-63-9"
51082,"76-25-5"
51204,"106-60-5"
51227,"12111-24-9"
51228,"125883-02-5"
51259,"51-75-2; 55-86-7"
51284,"83905-01-5"
51349,"54573-75-0"
51370,"1197-18-8"
52139,"82419-36-1"
52209,"1192500-31-4; 72558-82-8"
52570,"638-94-8"
52623,"102767-28-2"
52636,"49562-28-9"
52668,"27203-92-5"
52707,"5970-45-6"
52712,"2098-66-0"
52766,"27203-92-5"
52806,"356-12-7"
52822,"67-73-2"
52879,"82626-48-0; 99294-93-6"
52987,"71-58-9"
53029,"1361317-83-0; 97682-44-5"
53069,"59-96-1; 63-92-3"
53257,"129722-12-9"
53427,"312753-06-3; 740028-90-4"
53498,"59277-89-3"
53557,"57-63-6; 797-63-7"
53562,"15307-86-5"
53584,"135729-61-2; 135729-62-3"
53774,"80474-14-2; 90566-53-3"
53837,"49562-28-9"
54118,"15307-86-5"
54222,"104987-11-3"
54305,"123441-03-2"
54311,"289480-64-4; 81846-19-7"
54363,"51384-51-1; 58-93-5"
54389,"91714-93-1; 91714-94-2"
54577,"59467-70-8"
54689,"24584-09-6"
54733,"53-03-02"
54740,"137-58-6; 94-24-6"
54904,"57-63-6; 7759-35-5"
54959,"28633-45-6"
55053,"59803-98-4"
55090,"679809-58-6"
55177,"111025-46-8; 657-24-9"
55193,"362665-56-3"
55195,"437-38-7; 990-73-8"
55342,"630-56-8"
55434,"797-63-7"
55439,"63675-72-9"
55486,"91714-93-1; 91714-94-2"
55698,"74103-06-3; 74103-07-4"
55707,"103628-46-2"
55740,"111974-69-7; 111974-72-2"
55898,"116094-23-6"
55981,"51333-22-3"
56102,"4291-63-8"
56276,"50-78-2"
56472,"437-38-7; 990-73-8"
56516,"936091-26-8"
56527,"221877-54-9"
56647,"82410-32-0"
56654,"19356-17-3"
56687,"465-65-6; 76-42-6"
56791,"175591-09-0; 175591-23-8"
56823,"122320-73-4; 657-24-9"
56956,"82626-48-0; 99294-93-6"
57021,"902143-01-5"
57022,"956103-76-7"
57097,"397864-44-7"
57430,"1230487-00-9"
57439,"52757-95-6; 845273-93-0"
57441,"99-66-1"
57467,"57-27-2; 6211-15-0; 64-31-3"
57476,"1403-66-3"
57516,"76-42-6"
57557,"52485-79-7"
57595,"6998-60-3"
57598,"15687-27-1"
57639,"70288-86-7"
57689,"54739-18-3"
57749,"1951-25-3"
57760,"60-86-8"
57893,"76-25-5"
57983,"51333-22-3"
58193,"446254-47-3; 54-96-6"
58240,"102767-28-2"
58393,"437608-50-9"
58634,"4205-90-7; 4205-91-8"
58643,"31677-93-7; 34911-55-2"
58672,"84057-84-1"
58820,"58-22-0"
58821,"5949-44-0"
58903,"437-38-7"
58940,"1508-65-2; 5633-20-5"
58972,"27761-19-9; 60-23-1"
58997,"28860-95-9; 59-92-7"
59060,"397864-44-7; 503068-34-6"
59158,"298-46-4"
59183,"303-53-7; 6202-23-9"
59267,"50-24-8; 52-21-1"
59543,"99614-02-5"
59637,"51-63-8"
59664,"23214-92-8"
59670,"51333-22-3"
59692,"125-29-1; 34195-34-1"
59795,"111025-46-8; 850649-61-5"
60133,"28721-07-5"
60482,"320345-99-1; 73573-87-2"
60512,"1346242-81-6"
60618,"1061337-51-6"
60691,"103628-46-2; 103628-48-4"
60718,"28860-95-9; 59-92-7"
60861,"1132935-63-7"
60934,"16679-58-6; 62357-86-2"
60940,"99614-02-5"
60977,"28860-95-9; 59-92-7"
61205,"9007-72-1"
61344,"139755-80-9; 77679-27-7"
61411,"132539-06-1"
61413,"105102-22-5; 83919-23-7"
61461,"119623-66-4; 15307-86-5"
62158,"81-25-4"
62266,"129318-43-0; 66376-36-1"
62425,"127-07-1"
62738,"18323-44-9; 302-79-4; 337954-93-5"
62957,"1029044-16-3; 2040295-03-0"
63014,"57-63-6; 68-22-4"
63056,"22994-85-0"
63187,"1108743-60-7"
63513,"156-57-0; 60-23-1"
63655,"19982-08-2; 41100-52-1"
63740,"112965-21-6"
63826,"189691-06-3"
63890,"91714-94-2"
63902,"10118-90-8; 13614-98-7"
64328,"129722-12-9"
64433,"103-90-2; 1259440-61-3"
64446,"57-63-6; 68-22-4"
64703,"148-82-3"
64783,"89-57-6"
64784,"1275612-31-1"
64893,"50-78-2; 79902-63-9; 87333-19-5"
64899,"119141-88-7; 934714-36-0"
64940,"465-65-6; 52485-79-7"
64949,"148553-50-8"
65274,"50-02-2"
65353,"1217486-61-7"
65375,"97240-79-4"
65405,"84625-61-6"
65411,"1061337-51-6"
65653,"85721-33-1"
65712,"104632-25-9; 104632-26-0"
65752,"665-66-7; 768-94-5"
65925,"112965-21-6; 5593-20-4"
66004,"465-65-6; 52485-79-7"
66158,"132-22-9; 76-57-3"
66485,"1397-89-3"
66492,"104987-11-3"
66493,"104987-11-3"
66494,"38304-91-5; 98319-26-7"
66519,"116094-23-6"
66538,"125-29-1; 34195-34-1"
66570,"1397-89-3"
67111,"1491-59-4"
67579,"106308-44-5"
67614,"657-24-9; 842133-18-0"
68673,"61869-08-7"
68674,"61869-08-7"
68825,"33725-54-1"
68852,"103-90-2; 76-42-6"
68997,"16590-41-3; 76-42-6"
69025,"124-90-3; 76-42-6"
69367,"1491-59-4; 94-24-6"
69428,"1393477-72-9"
69626,"4205-90-7"
69641,"15307-86-5"
69677,"59-92-7"
69690,"160337-95-1"
69737,"56-85-9"
69738,"56-85-9"
69784,"50-07-7"
69798,"125-29-1; 132-22-9"
69817,"54910-89-3"
69844,"1297538-32-9"
70004,"10417-94-4; 24257-10-1; 24880-40-8; 24880-45-3; 25182-74-5; 463-40-1; 506-26-3; 60-33-3; 6217-54-5"
70090,"113-45-1; 298-59-9"
70341,"58-93-5; 85441-61-8"
70447,"357-08-4; 465-65-6"
70573,"124-90-3; 76-42-6"
70732,"1313206-42-6; 474645-27-7"
70991,"83881-51-0"
71214,"71125-38-7"
71582,"152923-56-3"
71833,"141758-74-9"
71847,"35121-78-9"
71886,"36791-04-5"
71930,"7632-00-0"
71946,"106-60-5; 5451-09-2"
72124,"76-25-5"
72706,"36791-04-5"
73309,"120-97-8"
73319,"118292-40-3; 66852-54-8"
73334,"160337-95-1"
73402,"58-14-0"
73449,"74863-84-6"
73506,"146-17-8; 83-88-5"
73625,"134678-17-4; 201341-05-1"
73740,"103628-46-2"
73918,"124-90-3; 76-42-6"
74004,"88150-47-4"
74138,"516-54-1"
74167,"34195-34-1"
74224,"24390-14-5"
74239,"209342-40-5"
74401,"66085-59-4"
74437,"10118-90-8; 13614-98-7"
74456,"56030-54-7"
74726,"1310726-60-3"
74759,"61-73-4"
75426,"465-65-6; 52485-79-7; 53152-21-9"
75646,"10540-29-1; 54965-24-1"
76229,"4419-39-0; 5534-09-8"
77575,"5786-21-0"
77646,"5786-21-0"
77798,"4759-48-2"
77813,"154229-18-2; 154229-19-3"
78782,"54182-58-0"
78987,"24729-96-2; 94-36-0"
79128,"50-28-2"
79309,"486-16-8"
79320,"113-45-1; 298-59-9"
80048,"59-05-2"
80269,"50-02-2"
80291,"58-93-5; 87333-19-5"
80667,"130-95-0; 207671-44-1"
80783,"106266-06-2"
80869,"50-44-2; 6112-76-1"
80874,"50-28-2"
81075,"61-73-4"
81616,"24868-20-0; 7261-97-4"
81695,"32986-56-4"
82005,"654671-77-9; 657-24-9"
82019,"93413-69-5; 99300-78-4"
82162,"7722-84-1"
82443,"318-98-9; 525-66-6"
82520,"57-27-2; 6211-15-0"
82591,"52485-79-7"
82773,"797-63-7"
83183,"75847-73-3; 76095-16-4"
83185,"477600-75-2"
83217,"89-57-6"
83624,"125-29-1; 132-22-9"
83871,"300-62-9"
84603,"315-37-7"
84766,"113-45-1"
84795,"1972-08-3"
85097,"82034-46-6"
85192,"469-21-6; 65-23-6"
85525,"51-60-5"
85758,"50-28-2"
85904,"113-45-1; 298-59-9"
86050,"15307-86-5"
86307,"93413-62-8"
86349,"93413-62-8"
86590,"1254032-66-0; 130209-82-4"
86947,"58-22-0"
87027,"82419-36-1"
87028,"82419-36-1"
87054,"98079-51-7"
87173,"151096-09-2; 76-25-5"
87312,"80474-14-2; 90566-53-3"
87715,"59277-89-3"
87725,"59277-89-3"
88048,"3385-03-3; 77326-96-6"
88461,"82034-46-6"
88713,"9002-92-0"
89055,"5593-20-4"
89295,"130209-82-4"
89370,"102767-28-2"
89453,"1624259-25-1"
89931,"82626-48-0; 99294-93-6"
89957,"443-48-1"
90041,"160337-95-1"
90044,"3930-20-9; 959-24-0"
90370,"24169-02-6; 27220-47-9"
90455,"137-58-6"
90511,"16506-27-7; 3543-75-7"
90560,"616202-92-7; 846589-98-8"
90562,"134678-17-4; 518048-05-0"
90955,"169590-42-5; 88150-42-9"
91112,"396091-73-9"
91271,"300-62-9"
91339,"113-45-1; 298-59-9"
91390,"125-29-1; 132-22-9; 90-82-4"
91396,"125-29-1; 90-82-4"
91549,"28981-97-7"
91576,"93957-54-1; 93957-55-2"
91711,"132-22-9; 76-57-3"
91725,"61-76-7"
91856,"357-08-4; 465-65-6"
92069,"24390-14-5; 564-25-0"
92213,"54-96-6"
92898,"1197-21-3; 122-09-8"
92999,"60-86-8"
93108,"31431-39-7"
93113,"59865-13-3"
93412,"188627-80-7"
93417,"83150-76-9"
93496,"170729-80-3"
93593,"113-79-1"
93902,"361442-04-8; 461432-26-8; 657-24-9"
94112,"102767-28-2"
94472,"124937-51-5; 124937-52-6"
94514,"69049-73-6"
94517,"28860-95-9; 59-92-7"
95157,"1404-90-6; 151096-09-2; 76-25-5"
95553,"616-91-1"
95991,"80474-14-2; 89365-50-4"
96008,"114977-28-5"
96277,"564-25-0"
96279,"103628-46-2"
96680,"25122-46-7"
97243,"106635-80-7"
97274,"113-45-1; 298-59-9"
97421,"59-05-2"
98070,"95058-81-4"
98161,"302-79-4"
98214,"1174018-99-5; 64221-86-9; 82009-34-5"
98356,"60-40-2; 826-39-1"
98621,"51-43-4"
98637,"68-19-9"
98648,"68-19-9"
99504,"76547-98-3"
99721,"137862-53-4"
99754,"1134-47-0"
99765,"55-63-0"
100086,"21829-25-4"
100100,"74191-85-8; 77883-43-3"
100107,"13292-46-1; 54-85-3; 98-96-4"
100124,"1132935-63-7; 1216941-48-8; 1258226-87-7; 155213-67-5"
100611,"31431-39-7"
101639,"1051375-16-6; 134678-17-4"
101860,"134-72-5"
102193,"19262-68-1; 40431-64-9"
102726,"66108-95-0"
102849,"60-13-9"
103002,"1744-22-5"
103472,"80474-14-2"
103997,"115436-72-1"
104110,"51-98-9; 57-63-6"
104403,"104206-65-7"
104430,"22316-47-8"
104699,"55-03-8"
105492,"9004-61-9"
106091,"124-90-3; 76-42-6"
107002,"104206-65-7"
109106,"134-72-5"
109146,"128270-60-0"
109147,"134-72-5"
109148,"51-60-5"
109195,"1404-93-9"
109395,"66852-54-8"
109656,"147511-69-1"
109933,"134678-17-4; 154598-52-4; 201341-05-1"
109953,"469-21-6; 65-23-6"
110889,"63585-09-1"
111900,"51384-51-1; 98418-47-4"
113752,"134678-17-4; 201341-05-1"
114745,"66852-54-8; 98651-66-2"
114986,"60-86-8"
117869,"88150-42-9"
