drugid,cas
4529,"85622-93-1"
4533,"78628-80-5; 91161-71-6"
4554,"115103-54-3"
4558,"149845-07-8; 89987-06-4"
4565,"1397-89-3"
4573,"134308-13-7"
4576,"97240-79-4"
4577,"119413-54-6; 123948-87-8"
4579,"27203-92-5; 36282-47-0"
4580,"87679-37-6; 87679-71-8"
4582,"396715-57-4; 53016-31-2; 57-63-6"
4593,"52128-35-5; 82952-64-5"
4634,"120373-24-2"
4648,"93413-69-5; 99300-78-4"
4651,"68506-86-5"
4708,"7481-89-2"
4718,"111406-87-2"
4723,"82626-48-0; 99294-93-6"
4728,"143491-54-7; 143491-57-0"
4729,"51-21-8"
4734,"96946-42-8"
4735,"124832-26-4; 124832-27-5"
4736,"139264-17-8"
4858,"101152-94-7; 92623-85-3"
4903,"25905-77-5; 25953-17-7"
4908,"91374-20-8; 91374-21-9"
5051,"144701-48-4"
5148,"204656-20-2"
5202,"220578-59-6"
5254,"437-38-7; 990-73-8"
5265,"76584-70-8; 99-66-1"
5266,"63074-08-8; 63590-64-7"
5267,"53714-56-0; 74381-53-6"
5290,"41340-25-4"
5296,"15307-86-5; 239810-53-8; 59122-46-2"
5312,"59122-46-2"
5321,"150378-17-9; 157810-81-6"
5326,"151767-02-1; 158966-92-8"
5328,"144034-80-0; 145202-66-0; 159776-67-7"
5356,"28523-86-6"
5359,"35543-24-9; 55837-25-7"
5369,"36791-04-5"
5620,"119914-60-2"
5665,"102767-28-2"
5728,"166663-25-8"
5800,"102625-70-7; 164579-32-2"
5824,"39809-25-1; 97845-62-0"
5859,"1744-22-5"
5871,"147536-97-8; 157212-55-0; 329923-41-3; 370566-31-7"
5907,"116539-59-4"
5920,"87848-99-5"
5929,"31677-93-7; 34911-55-2"
5930,"68302-57-8"
5957,"51333-22-3"
5958,"101827-46-7; 101828-21-1"
5969,"91832-40-5"
5975,"92665-29-7; 92676-86-3"
5999,"59865-13-3"
6009,"154427-83-5; 160369-78-8; 176669-18-4"
6014,"72822-12-9; 72822-13-0"
6018,"125-69-9; 125-71-3"
6027,"57041-67-5"
6039,"135308-72-4; 386750-22-7; 93413-62-8"
6047,"70052-12-9"
6050,"1115-70-4; 657-24-9"
6051,"56180-94-0"
6056,"363-24-6"
6064,"106819-53-8"
6071,"42924-53-8"
6074,"14769-73-4"
6104,"103577-45-3"
6132,"35121-78-9; 61849-14-7"
6134,"13392-28-4; 1501-84-4"
6140,"73573-87-2"
6149,"78919-13-8"
6156,"21679-14-1; 75607-67-9"
6158,"75530-68-6"
6161,"28721-07-5"
6165,"100299-08-9; 69372-19-6"
6166,"89778-26-7; 89778-27-8"
6189,"84057-84-1"
6241,"136817-59-9; 147221-93-0"
6242,"136470-78-5; 168146-84-7; 188062-50-2"
6259,"375823-41-9"
6292,"66852-54-8; 98651-66-2"
6297,"13494-90-1; 135886-70-3"
6318,"109581-73-9"
6322,"68373-14-8; 69388-84-7"
6408,"105661-07-2; 125317-39-7; 71486-22-1"
6556,"130929-57-6"
6587,"21829-25-4"
6588,"74191-85-8; 77883-43-3"
6591,"5300-03-8"
6600,"153559-49-0"
6681,"82640-04-8; 84449-90-1"
6685,"73334-07-3"
6747,"106941-25-7; 142340-99-6"
6807,"9004-61-9; 9067-32-7"
6817,"120287-85-6; 145672-81-7"
6877,"58066-85-6"
6955,"113852-37-2"
7017,"112811-59-3"
7067,"99011-02-6"
7103,"9004-61-9; 9067-32-7"
7126,"24584-09-6"
7286,"145781-92-6; 65807-02-5"
7291,"76932-56-4; 76932-60-0"
7310,"155213-67-5"
7352,"164656-23-9"
7735,"148849-67-6; 155974-00-8"
7781,"129722-12-9"
7810,"183204-74-2; 70-00-8; 733030-01-8"
7818,"51322-75-9; 64461-82-1"
7867,"161814-49-9"
7871,"53179-13-8"
7908,"153507-46-1"
7932,"106-60-5; 5451-09-2"
7934,"23214-92-8; 25316-40-9"
7971,"99755-59-6"
8013,"66085-59-4"
8023,"128517-07-7"
8050,"50-35-1"
8165,"136310-93-5; 186691-13-4"
8197,"150812-12-7"
8255,"159989-64-7; 159989-65-8"
8265,"118292-40-3"
8399,"148016-81-3"
8424,"139110-80-8"
8549,"147359-76-0; 167933-07-5"
8555,"168626-94-6; 210101-16-9"
8642,"220620-09-7"
8710,"147245-92-9"
8713,"139755-83-2; 171599-83-0"
8714,"137234-62-9"
8715,"143322-58-1; 177834-92-3"
8732,"367514-87-2; 367514-88-3"
8735,"133099-04-4"
8778,"106650-56-0; 125494-59-9; 84485-00-7"
8781,"10016-20-3; 55648-20-9; 745-65-3"
8783,"113775-47-6; 145108-58-3"
8832,"93479-97-1"
8858,"136236-51-6; 161735-79-1"
8859,"34391-04-3; 50293-90-8"
8860,"153439-40-8; 83799-24-0"
8863,"27262-47-1; 27262-48-2"
8888,"127-07-1"
8896,"141204-94-6; 71963-77-4"
8897,"59803-98-4; 70359-46-5"
8899,"68291-97-4"
8917,"146961-77-5"
8936,"148-72-1; 54-71-7; 92-13-7"
8946,"144689-24-7; 144689-63-4"
8955,"72956-09-3"
8956,"110429-35-1; 61869-08-7"
8957,"139096-04-1"
8959,"110042-95-0"
8976,"122320-73-4; 155141-29-0"
8999,"5104-49-4; 56767-76-1"
9001,"123-99-9"
9022,"158747-02-5; 158930-09-7; 158930-17-7"
9049,"147-94-4"
9053,"152751-57-0; 52757-95-6"
9057,"58-22-0"
9100,"200815-49-2; 67346-49-0"
9112,"114899-77-3; 236743-94-5"
9201,"148465-45-6"
9247,"302-79-4"
9257,"156137-99-4"
9308,"127455-27-0"
9313,"108736-35-2; 127984-74-1"
9409,"1953-04-4; 357-70-0"
9411,"106685-40-9"
9424,"68786-66-3"
9428,"159519-65-0"
9447,"156053-89-3; 170098-38-1"
9544,"308081-97-2; 86227-47-6"
9548,"82034-46-6"
9577,"119006-77-8"
9605,"144060-53-7"
9740,"120895-52-5; 1397-89-3"
9742,"502-85-2; 591-81-1"
9752,"106635-80-7; 106635-81-8"
9754,"135729-61-2; 135729-62-3"
9798,"138531-07-4; 57-10-3; 63-89-8"
9801,"63612-50-0"
9811,"504-24-5"
9819,"587-26-8"
9828,"590-46-5"
9829,"55-98-1"
9830,"50-28-2"
9863,"76-19-7"
9906,"138890-62-7"
9943,"163521-08-2; 163521-12-8"
9953,"141750-63-2; 147511-69-1; 147526-32-7"
9972,"171099-57-3"
9988,"164650-44-6"
10039,"1716-12-7"
10081,"76-19-7"
10091,"145158-71-0; 189188-57-6"
10096,"402957-28-2"
10106,"133454-47-4"
10118,"86227-47-6"
10154,"162359-55-9; 162359-56-0"
10172,"154598-52-4; 154801-74-8; 177530-93-7"
10198,"24390-14-5; 564-25-0"
10229,"104145-95-1; 117467-28-4"
10252,"160337-95-1"
10269,"15307-86-5"
10271,"211245-85-1; 571190-30-2; 827022-33-3"
10298,"437-38-7; 990-73-8"
10300,"50-28-2"
10301,"57-63-6"
10309,"154229-18-2; 154229-19-3"
10385,"25614-03-3"
10402,"77337-73-6; 77337-76-9"
10411,"116094-23-6"
10412,"50-28-2; 51-98-9"
10440,"133865-89-1; 202825-46-5"
10488,"124937-51-5; 124937-52-6"
10490,"15687-27-1; 76-42-6"
10515,"82410-32-0"
10518,"30123-17-2; 72797-41-2"
10524,"154323-57-6; 181183-52-8"
10535,"54573-75-0"
10536,"135326-11-3; 135326-22-6"
10563,"24390-14-5; 564-25-0"
10606,"496775-61-2; 496775-62-3"
10634,"78415-72-2"
10643,"32222-06-3"
10704,"14611-51-9; 14611-52-0"
10708,"155270-99-8"
10772,"2551-62-4"
10777,"57-27-2; 6211-15-0; 64-31-3"
11020,"113662-23-0; 127000-20-8; 172504-22-2"
11027,"171228-49-2"
11036,"165800-03-3"
11084,"175463-14-6; 210353-53-0"
11089,"173903-47-4; 55981-09-4"
11129,"154-93-8"
11232,"32986-56-4"
11237,"58-22-0"
11238,"50-28-2"
11290,"182815-43-6; 182815-44-7; 189014-38-8; 189014-39-9; 189014-43-5"
11295,"56124-62-0"
11367,"163222-33-1"
11392,"59865-13-3"
11460,"152459-95-5; 220127-57-1"
11519,"65271-80-9; 70476-82-3"
11547,"19982-08-2; 41100-52-1"
11549,"745-65-3"
11562,"541-15-1"
11603,"184475-35-2"
